Name,RouteName,PassengerCount
新宿駅,ＪＲ山手線,1502036
渋谷駅,東京急行電鉄東横線,1108543
渋谷駅,東京急行電鉄田園都市線,1108543
池袋駅,ＪＲ山手線,1100700
東京駅,ＪＲ東海道本線,831816
渋谷駅,ＪＲ山手線,757078
新宿駅,京王電鉄京王線,734578
品川駅,ＪＲ山手線,671322
新宿駅,都営地下鉄新宿線,538369
池袋駅,東京メトロ丸ノ内線,529698
新橋駅,ＪＲ山手線,509890
新宿駅,小田急電鉄小田原線,488021
秋葉原駅,ＪＲ東北本線,480654
池袋駅,西武鉄道池袋線,478545
池袋駅,東武鉄道東上線,472132
北千住駅,東武鉄道伊勢崎線,437156
綾瀬駅,東京メトロ千代田線,436961
北千住駅,ＪＲ常磐線,404830
高田馬場駅,ＪＲ山手線,403026
上野駅,ＪＲ東北本線,367222
渋谷駅,京王電鉄井の頭線,336805
有楽町駅,ＪＲ山手線,334730
浜松町駅,ＪＲ山手線,311568
大手町駅,東京メトロ丸ノ内線,301519
高田馬場駅,西武鉄道新宿線,289810
田町駅,ＪＲ山手線,288866
大崎駅,ＪＲ山手線,286794
北千住駅,東京メトロ千代田線,285742
蒲田駅,ＪＲ東海道本線,279456
中野駅,ＪＲ中央本線,276934
恵比寿駅,ＪＲ山手線,267106
五反田駅,ＪＲ山手線,265048
品川駅,京浜急行本線,261780
神保町駅,都営地下鉄三田線,255847
目黒駅,東京急行電鉄目黒線,251530
代々木上原駅,東京メトロ千代田線,243222
代々木上原駅,小田急電鉄小田原線,243222
銀座駅,東京メトロ銀座線,241330
新橋駅,東京メトロ銀座線,230720
新宿駅,東京メトロ丸ノ内線,226734
大門駅,都営地下鉄浅草線,216904
目黒駅,ＪＲ山手線,213076
渋谷駅,東京メトロ銀座線,212534
渋谷駅,東京メトロ半蔵門線,212534
渋谷駅,東京メトロ副都心線,212534
上野駅,東京メトロ銀座線,210379
御茶ノ水駅,ＪＲ総武本線,209474
錦糸町駅,ＪＲ総武本線,207044
押上駅,都営地下鉄浅草線,200913
大井町駅,ＪＲ東海道本線,200806
日暮里駅,ＪＲ東北本線,199750
神田駅,ＪＲ山手線,195178
押上駅,京成電鉄押上線,195147
西日暮里駅,ＪＲ東北本線,194536
泉岳寺駅,都営地下鉄浅草線,190944
高田馬場駅,東京メトロ東西線,189558
中目黒駅,東京メトロ日比谷線,187998
中目黒駅,東京急行電鉄東横線,187998
春日駅,都営地下鉄三田線,187519
東京駅,東京メトロ丸ノ内線,186459
大森駅,ＪＲ東海道本線,185924
四ツ谷駅,ＪＲ中央本線,184862
飯田橋駅,ＪＲ中央本線,182392
