Name,PassengerCount
お台場海浜公園駅,16515
お花茶屋駅,31141
とうきょうスカイツリー駅,107663
ときわ台駅,46664
テレコムセンター駅,14138
一之江駅,40085
三ノ輪駅,36553
三河島駅,20484
三田駅,101939
三越前駅,127807
三軒茶屋駅,128407
上中里駅,14188
上井草駅,20141
上北沢駅,14116
上板橋駅,49284
上町駅,11019
上石神井駅,42451
上野広小路駅,22520
上野御徒町駅,54021
上野毛駅,22062
上野駅,367222
下丸子駅,37857
下井草駅,23679
下北沢駅,129558
下板橋駅,15354
下神明駅,7434
下落合駅,11404
下赤塚駅,16822
下高井戸駅,44039
不動前駅,28909
世田谷代田駅,7934
世田谷駅,11127
両国駅,75992
中井駅,27736
中延駅,28819
中村橋駅,38736
中板橋駅,26961
中目黒駅,187998
中野坂上駅,70853
中野富士見町駅,18167
中野新橋駅,19020
中野駅,276934
乃木坂駅,39935
久が原駅,14910
久我山駅,38428
九品仏駅,12877
九段下駅,159730
亀戸水神駅,3827
亀戸駅,113386
亀有駅,80542
二子玉川駅,129146
二重橋前駅,33308
五反田駅,265048
五反野駅,34695
井荻駅,19615
京急蒲田駅,49477
京成上野駅,43363
京成小岩駅,16983
京成曳舟駅,18111
京成立石駅,36317
京成金町駅,24275
京成関屋駅,24708
京成高砂駅,96669
京橋駅,52460
代々木上原駅,243222
代々木八幡駅,19810
代々木公園駅,24512
代々木駅,140836
代官山駅,30171
代田橋駅,20138
仲御徒町駅,41686
住吉駅,49893
信濃町駅,53816
光が丘駅,59157
入谷駅,29891
八丁堀駅,103982
八幡山駅,40711
八広駅,10418
六本木一丁目駅,63514
六本木駅,130018
六町駅,25300
六郷土手駅,14332
内幸町駅,39977
初台駅,57610
勝どき駅,93798
北千住駅,437156
北千束駅,6821
北参道駅,20245
北品川駅,8520
北池袋駅,8921
北綾瀬駅,26588
北赤羽駅,35114
十条駅,71886
千住大橋駅,12949
千川駅,35531
千歳烏山駅,75913
千歳船橋駅,54885
千石駅,31543
千駄ケ谷駅,40888
千駄木駅,26050
千鳥町駅,15021
半蔵門駅,83266
南千住駅,31980
南新宿駅,3788
南砂町駅,62151
南阿佐ケ谷駅,24000
原宿駅,141732
参宮橋駅,15347
台場駅,23809
品川シーサイド駅,43200
品川駅,671322
喜多見駅,31963
四ツ木駅,14096
四ツ谷駅,184862
四谷三丁目駅,44353
四谷駅,112666
国会議事堂前駅,36861
国立競技場駅,9513
国際展示場正門駅,19958
国際展示場駅,66900
地下鉄成増駅,47857
地下鉄赤塚駅,34129
堀切菖蒲園駅,20311
堀切駅,3991
外苑前駅,75934
多摩川駅,21338
大久保駅,49550
大井町駅,200806
大井競馬場前駅,8840
大塚駅,106284
大山駅,49419
大岡山駅,47298
大島駅,30032
大崎広小路駅,7733
大崎駅,286794
大師前駅,13516
大手町駅,301519
大森海岸駅,13896
大森町駅,18827
大森駅,185924
大泉学園駅,83628
大門駅,216904
大鳥居駅,27897
天王洲アイル駅,33900
天空橋駅,19474
奥沢駅,13636
学芸大学駅,74384
宝町駅,24313
宮の坂駅,4977
富士見ケ丘駅,13975
富士見台駅,25375
小伝馬町駅,37571
小岩駅,126576
小川町駅,66850
小村井駅,10407
小竹向原駅,159115
小菅駅,5604
尾久駅,16056
尾山台駅,29126
山下駅,8742
岩本町駅,46296
巣鴨駅,154178
市ケ谷駅,134206
幡ケ谷駅,31229
平井駅,62956
平和台駅,40304
平和島駅,46402
広尾駅,58864
形町駅,78936
後楽園駅,97773
御嶽山駅,24869
御徒町駅,135186
御成門駅,41507
御茶ノ水駅,209474
志村三丁目駅,31511
志村坂上駅,28687
志茂駅,10966
恵比寿駅,267106
成城学園前駅,86518
成増駅,57729
戸越公園駅,14102
戸越銀座駅,19356
戸越駅,20036
扇大橋駅,7581
押上駅,200913
整備場駅,2120
新三河島駅,5312
新中野駅,33026
新井薬師前駅,22072
新代田駅,9255
新大久保駅,79258
新大塚駅,23420
新宿三丁目駅,140767
新宿御苑前駅,46562
新宿西口駅,56005
新宿駅,1502036
新富町駅,38517
新小岩駅,144612
新御徒町駅,45195
新御茶ノ水駅,91798
新整備場駅,3927
新日本橋駅,36102
新木場駅,141662
新板橋駅,27844
新柴又駅,3941
新桜台駅,8033
新橋駅,509890
新江古田駅,24962
新馬場駅,14618
新高円寺駅,34819
新高島平駅,9612
方南町駅,33904
旗の台駅,38079
日の出駅,2181
日暮里駅,199750
日本橋駅,167424
日比谷駅,98756
早稲田駅,77731
明大前駅,91026
明治神宮前駅,91026
春日駅,187519
昭和島駅,5511
曙橋駅,35845
曳舟駅,24668
月島駅,66893
有明駅,5226
有楽町駅,334730
木場駅,75149
末広町駅,21910
本所吾妻橋駅,17706
本蓮沼駅,22179
本郷三丁目駅,51404
本駒込駅,21096
東あずま駅,7180
東中野駅,79108
東京テレポート駅,61900
東京駅,831816
東北沢駅,6422
東十条駅,44280
東向島駅,17726
東大前駅,26539
東大島駅,31259
東新宿駅,34887
東日本橋駅,77514
東松原駅,18504
東武練馬駅,59102
東池袋駅,37966
東銀座駅,80141
東長崎駅,26981
東陽町駅,120310
東雲駅,12900
東高円寺駅,33480
松原駅,4848
松陰神社前駅,11138
板橋区役所前駅,31799
板橋本町駅,31773
板橋駅,63782
柴又駅,8870
根津駅,26527
桜上水駅,36875
桜台駅,13756
桜新町駅,68794
桜田門駅,13742
梅ケ丘駅,31444
梅屋敷駅,14659
梅島駅,31068
森下駅,133103
椎名町駅,18714
武蔵小山駅,51337
武蔵新田駅,25229
武蔵関駅,28792
水天宮前駅,68752
水道橋駅,170640
氷川台駅,37700
永田町駅,65296
永福町駅,31262
汐留駅,50717
江北駅,8417
江古田駅,33045
江戸川橋駅,50379
江戸川駅,5203
池ノ上駅,9864
池上駅,34252
池尻大橋駅,60758
池袋駅,1100700
沼袋駅,19724
沼部駅,10557
泉岳寺駅,190944
洗足池駅,17965
洗足駅,14499
流通センター駅,17490
浅草橋駅,106654
浅草駅,97229
浜松町駅,311568
浜田山駅,29236
浜町駅,21381
浮間舟渡駅,42062
淡路町駅,55155
清澄白河駅,49190
渋谷駅,1108543
湯島駅,33315
溜池山王駅,98801
潮見駅,22718
熊野前駅,7870
牛田駅,22723
牛込柳町駅,19686
牛込神楽坂駅,14126
王子神谷駅,33949
王子駅,122134
瑞江駅,52173
用賀駅,61348
田原町駅,29170
田園調布駅,35839
田町駅,288866
田端駅,88310
町屋駅,57181
白山駅,47278
白金台駅,16730
白金高輪駅,40020
目白駅,75864
目黒駅,251530
矢口渡駅,23683
石川台駅,14662
石神井公園駅,75319
祐天寺駅,29742
祖師ケ谷大蔵駅,46510
神保町駅,255847
神楽坂駅,39466
神泉駅,10761
神田駅,195178
神谷町駅,96611
秋葉原駅,480654
稲荷町駅,15257
穴守稲荷駅,14669
立会川駅,17085
竹ノ塚駅,71275
竹橋駅,50572
竹芝駅,4752
笹塚駅,75401
等々力駅,28562
築地市場駅,27365
築地駅,70662
篠崎駅,36238
糀谷駅,23512
経堂駅,72769
綾瀬駅,436961
緑が丘駅,9212
練馬春日町駅,20478
練馬駅,121472
練馬高野台駅,25919
羽田空港駅,92454
自由が丘駅,149775
舎公園駅,3890
舎駅,6602
船の科学館駅,3782
船堀駅,58715
芝公園駅,28850
芝浦ふ頭駅,4769
芦花公園駅,14186
若松河田駅,30445
若林駅,5123
茅場町駅,119890
茗荷谷駅,70584
荏原中延駅,12757
荏原町駅,16570
荻窪駅,172064
菊川駅,23357
落合南長崎駅,24329
落合駅,24261
葛西臨海公園駅,25798
葛西駅,101096
蒲田駅,279456
蓮根駅,17963
蓮沼駅,7715
蔵前駅,34667
虎ノ門駅,116937
表参道駅,168713
西ケ原駅,7747
西台駅,24100
西大井駅,30966
西大島駅,26632
西太子堂駅,1196
西小山駅,35397
西巣鴨駅,27322
西新井大師西駅,9640
西新井駅,63669
西新宿五丁目駅,30220
西新宿駅,77390
西日暮里駅,194536
西早稲田駅,33732
西武新宿駅,172326
西永福駅,17953
西荻窪駅,84804
西葛西駅,99292
西馬込駅,43086
西高島平駅,12250
要町駅,36955
見沼代親水公園駅,10722
護国寺駅,39052
谷在家駅,8056
豊島園駅,13570
豊洲駅,182294
豪徳寺駅,25796
赤土小学校前駅,4332
赤坂見附駅,109472
赤坂駅,86518
赤羽岩淵駅,80742
赤羽橋駅,36187
赤羽駅,179484
越中島駅,9138
足立小台駅,3273
辰巳駅,28702
都庁前駅,43750
都立大学駅,47039
都立家政駅,17509
野方駅,22929
金町駅,95774
銀座一丁目駅,35170
銀座駅,241330
錦糸町駅,207044
鐘ケ淵駅,12553
長原駅,14949
門前仲町駅,110958
阿佐ケ谷駅,88596
雑司が谷駅,16688
雑色駅,29781
雪が谷大塚駅,23969
霞ケ関駅,141375
青井駅,12100
青山一丁目駅,111482
青海駅,5348
青物横丁駅,42243
青砥駅,46501
飯田橋駅,182392
馬喰横山駅,108190
馬喰町駅,49228
馬込駅,24750
駒場東大前駅,38878
駒沢大学駅,73760
駒込駅,94980
高井戸駅,43519
高円寺駅,98472
高島平駅,29075
高田馬場駅,403026
高輪台駅,14090
高野駅,4704
鮫洲駅,9525
鵜の木駅,18830
鶯谷駅,48962
鷺ノ宮駅,29927
麹町駅,59871
麻布十番駅,45928
