,Name,PassengerCount
0,新宿,778618
1,池袋,566516
2,東京,452549
3,横浜,420192
4,品川,378566
5,渋谷,370669
6,新橋,277404
7,大宮,255147
8,秋葉原,250251
9,北千住,217838
10,川崎,211896
11,高田馬場,211161
12,上野,187536
13,有楽町,169943
14,立川,167108
15,大崎,164876
16,浜松町,158368
17,田町,154915
18,中野,148789
19,蒲田,145643
20,恵比寿,145319
21,吉祥寺,143313
22,船橋,139109
23,五反田,139030
24,西船橋,138177
25,武蔵小杉,129637
26,柏,125354
27,日暮里,113468
28,国分寺,112800
29,町田,112710
30,戸塚,111725
31,目黒,111655
32,藤沢,108917
33,錦糸町,106164
34,千葉,105807
35,御茶ノ水,105735
36,大井町,104412
37,津田沼,104073
38,神田,103940
39,西日暮里,100917
40,松戸,100831
41,大船,98695
42,四ツ谷,97608
43,三鷹,97413
44,大森,96181
45,赤羽,95851
46,飯田橋,93871
47,浦和,92735
48,仙台,89505
49,荻窪,89491
50,武蔵溝ノ口,85355
51,八王子,85302
52,川口,84231
53,水道橋,83531
54,登戸,81781
55,鶴見,80904
56,舞浜,79063
57,新木場,77874
58,巣鴨,77285
59,新小岩,76565
60,南越谷,75262
61,原宿,74353
62,北朝霞,70895
63,桜木町,70676
64,代々木,69935
65,御徒町,68750
66,武蔵境,68423
67,海浜幕張,67572
68,小岩,66009
69,橋本,65871
70,王子,64797
71,新横浜,63110
72,市ケ谷,62333
73,武蔵小金井,61858
74,平塚,61846
75,市川,61159
76,長津田,61045
77,蕨,60856
78,本八幡,59869
79,南浦和,59828
80,東戸塚,58780
81,亀戸,58136
82,辻堂,57796
83,西川口,57444
84,大塚,57330
85,新浦安,56462
86,茅ケ崎,56149
87,関内,55586
88,浅草橋,54593
89,さいたま新都心,54255
90,国立,54134
91,武蔵浦和,53533
92,菊名,52958
93,北浦和,52872
94,金町,51615
95,高円寺,51388
96,稲毛,50575
97,駒込,48964
98,新大久保,48220
99,田端,47034
100,阿佐ケ谷,45642
101,西荻窪,45214
102,鎌倉,44866
103,亀有,42020
104,上尾,42010
105,中山,41992
106,分倍河原,40913
107,東中野,40855
108,両国,39768
109,鴨居,39187
110,新松戸,39015
111,新秋津,38860
112,淵野辺,38654
113,川越,38491
