,Name,Name2,PassengerCount,RouteCount
0,三ノ輪,,41249,1
1,三越前,,129691,2
2,上野,,213020,2
3,上野広小路,,24495,1
4,中目黒,,229306,1
5,中野,,160270,1
6,中野坂上,,75848,1
7,中野富士見町,,19481,1
8,中野新橋,,20596,1
9,乃木坂,,42733,1
10,九段下,,176675,2
11,二重橋前,丸の内,34898,1
12,京橋,,60685,1
13,人形町,,82583,1
14,代々木上原,,278836,1
15,代々木公園,,28031,1
16,仲御徒町,,42267,1
17,住吉,,57015,1
18,入谷,,33644,1
19,八丁堀,,111924,1
20,六本木,,134902,1
21,六本木一丁目,,82823,1
22,北千住,,591138,2
23,北参道,,23969,1
24,北綾瀬,,30869,1
25,千川,,39140,2
26,千駄木,,29107,1
27,半蔵門,,89961,1
28,南千住,,30040,1
29,南砂町,,61001,1
30,南行徳,,54278,1
31,南阿佐ケ谷,,27189,1
32,原木中山,,27342,1
33,和光市,,185865,1
34,四ツ谷,,125084,2
35,四谷三丁目,,46732,1
36,国会議事堂前,溜池山王,150373,4
37,地下鉄成増,,52212,1
38,地下鉄赤塚,,38051,1
39,外苑前,,82616,1
40,大手町,,338955,4
41,妙典,,51537,1
42,小伝馬町,,39847,1
43,小竹向原,,180429,2
44,市ケ谷,,146603,2
45,平和台,,43929,1
46,広尾,,63049,1
47,後楽園,,105720,2
48,御茶ノ水,,59493,1
49,志茂,,12425,1
50,恵比寿,,118260,1
51,押上,スカイツリー前,177297,1
52,新中野,,35626,1
53,新大塚,,25491,1
54,新宿,,236657,1
55,新宿三丁目,,163044,2
56,新宿御苑前,,52630,1
57,新富町,,41479,1
58,新御茶ノ水,,97514,1
59,新木場,,109841,1
60,新橋,,252793,1
61,新高円寺,,37291,1
62,方南町,,37224,1
63,日本橋,,189764,2
64,日比谷,,105614,2
65,早稲田,,82370,1
66,明治神宮前,原宿,105537,2
67,月島,,74049,1
68,有楽町,,174378,1
69,木場,,77101,1
70,末広町,,24743,1
71,本郷三丁目,,57024,1
72,本駒込,,23338,1
73,東京,,211558,1
74,東大前,,29401,1
75,東新宿,,41695,1
76,東池袋,,44044,1
77,東銀座,,90621,1
78,東陽町,,126363,1
79,東高円寺,,36043,1
80,根津,,28598,1
81,桜田門,,13114,1
82,水天宮前,,78360,1
83,氷川台,,40014,1
84,永田町,,82091,3
85,江戸川橋,,53135,1
86,池袋,,568316,3
87,浅草,,107628,1
88,浦安,,82018,1
89,淡路町,,59445,1
90,清澄白河,,55225,1
91,渋谷,,1054731,3
92,湯島,,35880,1
93,王子,,63317,1
94,王子神谷,,35406,1
95,田原町,,33317,1
96,町屋,,61307,1
97,白金台,,18193,1
98,白金高輪,,42541,1
99,目黒,,118326,1
100,神保町,,96811,1
101,神楽坂,,41257,1
102,神田,,60720,1
103,神谷町,,99610,1
104,秋葉原,,125928,1
105,稲荷町,,17294,1
106,竹橋,,48453,1
107,築地,,77498,1
108,綾瀬,,451413,1
109,茅場町,,129847,2
110,茗荷谷,,79409,1
111,荻窪,,88478,1
112,落合,,26317,1
113,葛西,,106899,1
114,虎ノ門,,117329,1
115,行徳,,58256,1
116,表参道,,182125,3
117,西ケ原,,8523,1
118,西新宿,,86795,1
119,西日暮里,,170756,1
120,西早稲田,,38739,1
121,西船橋,,293332,1
122,西葛西,,105183,1
123,要町,,40095,2
124,護国寺,,44262,1
125,豊洲,,214032,1
126,赤坂,,95556,1
127,赤坂見附,,127252,2
128,赤羽岩淵,,92093,1
129,辰巳,,30379,1
130,銀座,,266574,3
131,銀座一丁目,,38754,1
132,錦糸町,,105342,1
133,門前仲町,,119245,1
134,雑司が谷,,18381,1
135,霞ケ関,,150628,3
136,青山一丁目,,117633,2
137,飯田橋,,195294,3
138,駒込,,40799,1
139,高田馬場,,203957,1
140,麴町,,65797,1
141,麻布十番,,49467,1
